GO;52;00050;Abadia de Goiás;8053;;
MG;31;00104;Abadia dos Dourados;7037;;
GO;52;00100;Abadiânia;18427;;
MG;31;00203;Abaeté;23574;;
PA;15;00107;Abaetetuba;151934;;
CE;23;00101;Abaiara;11483;;
BA;29;00108;Abaíra;9212;;
BA;29;00207;Abaré;19939;;
PR;41;00103;Abatiá;7795;;
SC;42;00051;Abdon Batista;2617;;
PA;15;00131;Abel Figueiredo;7179;;
SC;42;00101;Abelardo Luz;17782;;
MG;31;00302;Abre Campo;13726;;
PE;26;00054;Abreu e Lima;98990;;
TO;17;00251;Abreulândia;2555;;
MG;31;00401;Acaiaca;4061;;
MA;21;00055;Açailândia;110543;;
BA;29;00306;Acajutiba;15764;;
PA;15;00206;Acará;54080;;
CE;23;00150;Acarape;16418;;
CE;23;00200;Acaraú;61715;;
RN;24;00109;Acari;11338;;
PI;22;00053;Acauã;6951;;
RS;43;00034;Aceguá;4731;;
CE;23;00309;Acopiara;53358;;
MT;51;00102;Acorizal;5301;;
AC;12;00013;Acrelândia;14120;;
GO;52;00134;Acreúna;21905;;
RN;24;00208;Açu;57743;;
MG;31;00500;Açucena;10066;;
SP;35;00105;Adamantina;35094;;
GO;52;00159;Adelândia;2561;;
SP;35;00204;Adolfo;3616;;
PR;41;00202;Adrianópolis;6293;;
BA;29;00355;Adustina;17254;;
PE;26;00104;Afogados da Ingazeira;36866;;
RN;24;00307;Afonso Bezerra;11207;;
ES;32;00102;Afonso Cláudio;32407;;
MA;21;00105;Afonso Cunha;6421;;
PE;26;00203;Afrânio;19225;;
PA;15;00305;Afuá;37778;;
PE;26;00302;Agrestina;24454;;
PI;22;00103;Agricolândia;5069;;
SC;42;00200;Agrolândia;10427;;
SC;42;00309;Agronômica;5371;;
PA;15;00347;Água Azul do Norte;26497;;
MG;31;00609;Água Boa;14524;;
MT;51;00201;Água Boa;24032;;
PI;22;00202;Água Branca;17068;;
PB;25;00106;Água Branca;10172;;
AL;27;00102;Água Branca;20422;;
MS;50;00203;Água Clara;14734;;
MG;31;00708;Água Comprida;2061;;
SC;42;00408;Água Doce;7143;;
MA;21;00154;Água Doce do Maranhão;12360;;
ES;32;00169;Água Doce do Norte;11958;;
BA;29;00405;Água Fria;17431;;
GO;52;00175;Água Fria de Goiás;5560;;
GO;52;00209;Água Limpa;1980;;
RN;24;00406;Água Nova;3235;;
PE;26;00401;Água Preta;36040;;
RS;43;00059;Água Santa;3841;;
SP;35;00303;Aguaí;35189;;
MG;31;00807;Aguanil;4406;;
PE;26;00500;Águas Belas;42831;;
SP;35;00402;Águas da Prata;8065;;
SC;42;00507;Águas de Chapecó;6412;;
SP;35;00501;Águas de Lindóia;18412;;
SP;35;00550;Águas de Santa Bárbara;5977;;
SP;35;00600;Águas de São Pedro;3205;;
MG;31;00906;Águas Formosas;19363;;
SC;42;00556;Águas Frias;2397;;
GO;52;00258;Águas Lindas de Goiás;191499;;
SC;42;00606;Águas Mornas;6206;;
MG;31;01003;Águas Vermelhas;13513;;
RS;43;00109;Agudo;17102;;
SP;35;00709;Agudos;36704;;
PR;41;00301;Agudos do Sul;9073;;
ES;32;00136;Águia Branca;10075;;
PB;25;00205;Aguiar;5567;;
TO;17;00301;Aguiarnópolis;6307;;
MG;31;01102;Aimorés;25703;;
BA;29;00603;Aiquara;4745;;
CE;23;00408;Aiuaba;17098;;
MG;31;01201;Aiuruoca;6224;;
RS;43;00208;Ajuricaba;7372;;
